UniProt	GeneSym
Q9Y2R0	COA3
Q02388	COL7A1
Q15054	POLD3
Q9HCU8	POLD4
Q07864	POLE
P56282	POLE2
Q9NRF9	POLE3
Q9UHL4	DPP7
Q9NY33	DPP3
P27487	DPP4
P23528	CFL1
Q9Y281	CFL2
Q6V1X1	DPP8
Q86TI2	DPP9
Q7L190	DPPA4
A6NC42	DPPA5
Q17RW2	COL24A1
Q8NHY2	COP1
Q9UII6	DUSP13
Q5RI15	COX20
P0DPQ6	DDIT3
Q494V2	CFAP100
Q9BSU1	C16orf70
Q6UX73	C16orf89
O75354	ENTPD6
Q09472	EP300
Q9UM22	EPDR1
O95278	EPM2A
Q9HCE0	EPG5
Q9H201	EPN3
P29317	EPHA2
Q5T890	ERCC6L2
Q9H9Y4	GPN2
Q2NKX8	ERCC6L
P07992	ERCC1
P18074	ERCC2
P28715	ERCC5
Q03468	ERCC6
Q13216	ERCC8
P50548	ERF
Q14534	SQLE
O76062	TM7SF2
Q9UKR5	ERG28
Q9Y282	ERGIC3
P48449	LSS
Q969X5	ERGIC1
Q7L0X2	ERICH6
O76042	ERC2-IT1
O75460	ERN1
P49685	GPR15
Q13304	GPR17
Q15760	GPR19
Q96HE7	ERO1A
Q99680	GPR22
O00155	GPR25
Q96DN0	ERP27
O00270	GPR31
O75388	GPR32
Q49SQ1	GPR33
Q9UPC5	GPR34
O43194	GPR39
O15529	GPR42
Q9Y5Y3	GPR45
Q86YR5	GPSM1
P81274	GPSM2
Q8N954	GPATCH11
P0DP91	CSB-PGBD3
P11474	ESRRA
Q96I76	GPATCH3
O95718	ESRRB
P62508	ESRRG
Q9HCN6	GP6
Q9UJM3	ERRFI1
P07203	GPX1
P18283	GPX2
P22352	GPX3
Q9H501	ESF1
Q96SL4	GPX7
Q9NQ30	ESM1
Q6ZVH7	ESPNL
P03372	ESR1
Q6UWW8	CES3
Q5XG92	CES4A
Q6NT32	CES5A
O15544	LINC01565
P20718	GZMH
P51124	GZMM
P28676	GCA
Q4V328	GRIPAP1
Q8TC17	GRAPL
Q7Z6J2	GRASP
Q9NY74	ETAA1
Q14449	GRB14
Q9C091	GREB1L
P62993	GRB2
Q14451	GRB7
P13804	ETFA
Q9GZT9	EGLN1
P01133	EGF
P0C7U0	ELFN1
P32519	ELF1
P28324	ELK4
Q9NYP7	ELOVL5
Q9UJA9	ENPP5
Q9Y5L3	ENTPD2
Q9UNN8	PROCR
P54764	EPHA4
Q99814	EPAS1
P29322	EPHA8
P54762	EPHB1
O75616	ERAL1
P54760	EPHB4
Q8IUS5	EPHX4
Q15303	ERBB4
Q96RT1	ERBIN
P15170	GSPT1
P11308	ERG
P84090	ERH
Q96DZ1	ERLEC1
